nome;valor;categoria;tipo;quartos;banheiros;area;detalhes;logradouro
$$ Localizado Farolândia 2-4 ou 3-4  ..;R$ 328.013;Apartamentos;Venda - apartamento padrão;3;2;59m²;Academia, Varanda, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$ Jabutiana atrás da Pio Décimo apto Novo  #;R$ 300.020;Apartamentos;Venda - apartamento padrão;3;2;78m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$ Singulare Localizado  próximo shopping Jardins 177 m  ...;R$ 1.000.037;Apartamentos;Venda - apartamento duplex/triplex;3;3;104m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Joventina Alves - de 701/702 ao fim
´´ Novo  Prestige  residence  Ligue ;R$ 310.032;Apartamentos;Venda - apartamento padrão;3;2;78m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Avenida Antônio Severiano de Assis
$$ Jardins  177m Duplex ...;R$ 874.034;Apartamentos;Venda - apartamento padrão;3;3;104m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Desconto Prestige Residence Localizado Jabutiana   ...;R$ 310.031;Apartamentos;Venda - apartamento padrão;3;2;78m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Rua Fátima Maria Chagas
Apartamento cond. Mares Do Sul <;R$ 160.055;Apartamentos;Venda - apartamento padrão;3;2;75m²;Não definido;Não definido
$$ Apto localizado Jabotiana 2-4 0u 3-4  Ligue ;R$ 300.024;Apartamentos;Venda - apartamento padrão;3;2;78m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador Novo  3-4  Oportunidade ...;R$ 338.023;Apartamentos;Venda - apartamento padrão;3;3;82m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
$$ Localizado  Av. Desembargador Maynard venda;R$ 170.039;Apartamentos;Venda - apartamento padrão;2;1;53m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Inovador  Pronto pra morar  3-4   novo  venda;R$ 338.024;Apartamentos;Venda - apartamento padrão;3;3;82m²;Academia, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
< Excelente terreno no bairro Aeroporto;R$ 340.168;Terrenos, sítios e fazendas;Terrenos;Não definido;Não definido;Não definido;Não definido;Rua Roberto César Rocha Souza - lado par
Reserva das Flores <;R$ 250.164;Apartamentos;Venda - apartamento padrão;3;2;70m²;Academia, Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Salão de festas, 10;Não definido
Casa na Farolandia !;R$ 580.190;Casas;Venda - casa em rua pública;4;4;215m²;Não definido;Não definido
Casa no Jardins ~;R$ 520.153;Casas;Venda - casa em rua pública;4;3;60m²;Não definido;Não definido
